Objeto;circunferencia;diametro
Pote de açúcar; 47.8; 14.1
durex; 28.8; 9.1
lata; 18.3; 5.8
Caneca; 27.5; 8.7
Frasco;9.8;3.0
bolacha; 13.1; 4.2
Pote de gel; 27.5; 8.8
Caneca; 27.6; 8.2
tubo de lápis;16.1;5.0
porta lapis; 48; 15
tampa de garrafa; 29.1; 9.3
vela; 16.0; 5.0
caneca; 20.9 ; 6.6
desodorante; 16.5; 5.25
tampa do pote de toddy grande; 28.8; 8.9
panela; 58.9; 18.8
balde; 54.2; 16.8
garrafa; 26.0; 8.0
Bottom; 12.7; 4
Fita Crepe; 32; 10
Desodorante; 18.4; 5.8
Copo;19.9;6.4
Baleiro; 37.3; 11.7
Garrafa de água; 23.6; 7.3
pote de slime; 26.5; 8.8
Lata de atum; 27.5; 8.6
portajoia; 23.3; 7.4
Caneca;28.8; 9.2
Pote;27.5;8.1
copo;24.2;7.6
copo; 21.1; 6.7
taça de vidro;  35.5; 11.6
Tampa de Garrafa; 9.6; 3.0
Pratomicroondas;86.5;27.7
corretivo líquido; 8.8; 2.8
tampa; 29.1; 9.1
xícara; 25.5; 8
xícara; 8.4; 26.5
remedio;18.5;5.6
Copo de vidro; 21.05; 6.7
tamopa de garrafinha;9.5;3
Base do copo americano; 16; 4.8
lata de biscoitos;  60.1; 19.0
Grade do ventilador de chão;132.7;4.6
Caneca; 50.0; 8.0
Copo1; 21.1; 7.0
Embalagem de hidratante; 14.0; 4.0
Copo;56.5;9
caneca; 25 ; 7.96
Xícara;27.2;8.2
Tampa; 16.1; 4.8
Vaso; 56.6; 17.5
tampa de perfume; 11.3; 3.6
forma; 75.0; 23.8
garrafa de vidro 350ml;19.5;5.1
jarra;31.4;9.9
lata de leite em pó; 49.9 ; 15.8
disco de madeira; 10.5; 33.0
Copo Americano; 20; 6
copo; 9.4 ; 3.0
Tampa;6;19
Álcool;26.6;8.5
Pokébola; 14.9; 4.7
Pote de creme;20;5
boca de fogão elétrico; 48.6;15.6
Lata de Leite; 31.1; 10
porta cd; 39.5; 12.5
creme para os pés; 29.2; 9.3
mesa; 377.2; 120.1
Embalagem de talco; 15.1; 4.8
CopoMenor; 20; 6
desodorante; 15.5; 4.9
maçaneta; 18; 5.5
desodorante;14.5;4.4
álcool; 24.0; 7.6
caneca; 25.7; 8
cola bastão; 7.3; 2.3
termica; 21; 6.5
fita adesiva; 26.0; 8.0
Cofrinho ;19.6 ;6.0
Tomada; 25.6; 8.0
copo;21.1;6.9
Toddy; 22.8; 6.8
Pote; 30.5; 9.1 
Fita; 28.2; 9.0
Copo;8.9;27.8
durex interno;24.01;7.71
prato;77.4;24.6
embalagem; 26.5; 8.0
Copo Vidro ; 23.8 ; 7.6
Mesa;377.0;120.0
Tampa_Cola; 7.0; 2.0
FitaAdesivaGasta;28.5;8.2
Tampa De Um Copo; 32.3; 10.1
Moeda 10 centavos; 6.28; 2.0
pote de comprimidos; 18.6; 5.9
leiteira; 49.7; 16.6
xicara; 21.04; 6.7
xícara; 25.2; 8.0
Vidro de álcool em gel; 24.5; 7.3
Caneca; 32.70; 10.4
Rolo de Papel Higienico;28.4;9.0
Caixa; 40.6; 13.5
tigela; 80.0; 25.5
Base de uma garrafa plastica;40;5
Porta Moedas; 25.2; 7.7
pokebola;16.0;5.4
vasilha_pao;66.3;20.78
panela; 63.7; 20.3
Panela; 76.35; 24.00
Pote de guardar ração; 42.5; 12.5
relogio; 21.3; 6.7
pote; 18.4; 5.9
Moedor de pimenta; 19; 6.1
Tampa;9.2;2.7
lixo; 70.3; 22.4
Porta lente; 10.0; 2.8
Corretivo; 9.0; 2.5
tampa nescau;27.5;8.7
perfume; 14.8; 4.5
base de cesto; 85.5; 26.2
vidrinho; 10.5; 3.3
desorodante; 14.3 ; 4.5
panela; 53.7; 17.1
pote de creme hidratante; 22.4; 6.7
pote; 31.2; 9.9
lata de leite; 31.6; 10
balanca; 45.0; 14.0
Tampa de pote; 22.9; 7.2
Pote de cereal; 32; 10.5
Lata de cerveja; 18.2; 5.4
Caixa;33.7;10.2
Condicionador; 15.0 ;4.9
Ventilador; 108.2; 35.4
garrafa térmica; 28.8; 8.6
Caneca; 26.8; 8.1
caneca; 27.4; 8.7
Garrafa de coca; 6.2; 2.0
Saleiro;20;8
cinzeiro;28.9;9.2
tijela; 44.5; 14.2
tampa da garrafa gatorade; 11.3; 3.8
Garrafa de Álcool; 26.4; 8.4
Frigideira;76.5;24.5
brinquedo circular; 14.8; 4.5
desodorante; 14.3; 4.5
xícara; 23.3; 7.5
pote; 9.2; 29.0
garrafa;23;7.1
Caneca; 26.07; 8.3
caneca;27;9
